流水號,名稱與備註,教授,學分,時間,教室,選修別,全與半,分發條件內容
08012SC0004-M,服務學習課程Student Service,張賢廷,0,二Z/E2-220三Z/E2-220,機械館-220,必修,半,"['系所:限機械工程學系。年級:限一年級。班別:限A。', '系所:限機械工程學系。']"
08013SC0004-N,服務學習課程Student Service,曾有志,0,二Z/E2-220三Z/E2-220,機械館-220,必修,半,"['系所:限機械工程學系。年級:限一年級。班別:限B。', '系所:限機械工程學系。']"
08014SC0004-O,服務學習課程Student Service,邱德耀,0,二Z/E2-220三Z/E2-220,機械館-220,必修,半,"['系所:限機械工程學系。年級:限一年級。班別:限C。', '系所:限機械工程學系。']"
08015SC0004-P,服務學習課程Student Service,龔存雄,0,四78/E1-124,工程二館-124,必修,半,['系所:限電機工程學系。年級:限一年級。班別:限A。']
08016SC0004-Q,服務學習課程Student Service,歐陽良昱,0,四78/E1-124,工程二館-124,必修,半,"['系所:限電機工程學系。年級:限一年級。班別:限B。', '系所:限電機工程學系。']"
08017SC0004-R,服務學習課程Student Service,韓伯維,0,一Z/E6-A209四Z/E6-A209,工程五館-A209,必修,半,"['系所:限資訊工程學系。年級:限一年級。班別:限A。', '系所:限資訊工程學系。']"
08018SC0004-S,服務學習課程Student Service,洪慧儒,0,二Z/E6-A209五Z/E6-A209,工程五館-A209,必修,半,"['系所:限資訊工程學系。年級:限一年級。班別:限B。', '系所:限資訊工程學系。']"
08019SC0004-T,服務學習課程Student Service,白承祐,0,二Z/E1-107五Z/E1-107,工程二館-107,必修,半,"['系所:限通訊工程學系。年級:限一年級。', '系所:限通訊工程學系。']"
08020SC0004-U,服務學習課程Student Service,黃依潔,0,五56/I1-111,管理二館-111,必修,半,"['系所:限企業管理學系。年級:限一年級。班別:限A。', '身份:限非交換生。', '系所:限企業管理學系。班別:限A。']"
08021SC0004-V,服務學習課程Student Service,蕭義棋,0,二9A/I1-006,管理二館-006,必修,半,"['系所:限企業管理學系。年級:限一年級。班別:限B。', '身份:限非交換生。', '系所:限企業管理學系。班別:限B。']"
08022SC0004-W,服務學習課程Student Service,蘇雅惠,0,五56/I1-105,管理二館-105,必修,半,"['系所:限資訊管理學系。年級:限一年級。班別:限A。', '系所:限資訊管理學系。']"
08023SC0004-X,服務學習課程Student Service,許智誠,0,三56/I1-002,管理二館-002,必修,半,"['系所:限資訊管理學系。年級:限一年級。班別:限B。', '系所:限資訊管理學系。']"
08024SC0004-Y,服務學習課程Student Service,陳韻旻,0,三9A/I1-308,管理二館-308,必修,半,"['系所:限經濟學系。年級:限一年級。', '系所:限經濟學系。']"
08025SC0004-Z,服務學習課程Student Service,王志瑋,0,一Z/I1-004五Z/I1-004,管理二館-004,必修,半,"['系所:限財務金融學系。年級:限一年級。', '系所:限財務金融學系。']"
08026SC0004-1,服務學習課程Student Service,王學玲莊宜文邱嘉耀,0,一AB/C2-106,文學二館-106,必修,半,"['系所:限中國文學系。年級:限一年級。', '系所:限中國文學系。']"
08027SC0004-2,服務學習課程Student Service,賴昆佑,0,二56/IL-116,國鼎光電大樓-116,必修,半,"['系所:限光電科學與工程學系。年級:限一年級。', '系所:限光電科學與工程學系。']"
08028SC0004-3,服務學習課程Student Service,杜遠朋,0,六34/*-***,其他-***,必修,半,"['系所:限理學院學士班。年級:限一年級。', '系所:限理學院學士班。年級:限二年級、三年級、四年級。']"
08029SC0004-4,服務學習課程Student Service,林佳賢,0,五56/S4-811,健雄館(科學四館)-811,必修,半,"['系所:限太空科學與工程學系。年級:限一年級。', '系所:限太空科學與工程學系。']"
08030SC0004-9,服務學習課程Student Service,莎瓏．伊斯哈罕布德,0,二Z/C2-104二9/C2-104,文學二館-104,必修,半,"['系所:限文學院學士班。年級:限一年級。', '系所:限文學院學士班。']"
08031SC0004-10,服務學習課程Student Service,陳聿廣,0,二Z/E1-105三Z/E1-105,工程二館-105,必修,半,['系所:限資訊電機學院學士班。年級:限一年級。']
08032SC0004-11,服務學習課程Student Service,鍾高陞波玫琳,0,六12/S-114,科學一館-114,必修,半,"['系所:限地球科學學院學士班。年級:限一年級。', '系所:限地球科學學院學士班。']"
09002GS2137-*,中國志怪敘事與人情百態Chinese Monstrosity Narratives and Humanity Diversity,康珮,2,四56/C2-106,文學二館-106,選修,半,['學制:限學士班。年級:限二年級、三年級、四年級。']
09003GS2152-*,經典古典音樂與電影配樂之賞析Famous Classical Music and Score Music Appreciation,陳慧娟,2,一56/A-101,文學一館-101,選修,半,['學制:限學士班。']
09004GS2153-*,西方古典音樂欣賞Introduction to Western Music and Musician請修讀過 GS,翁立美,2,二9A/O-122,綜教館-122,選修,半,['學制:限學士班。']
09005GS2156-*,精神能力,程進發,2,三12/A-113,文學一館-113,選修,半,['學制:限學士班。']
09006GS2161-*,跨領域思辨Cross,陳宣毅,1,一Z/A-106,文學一館-106,選修,半,['學制:限學士班。系所:限學分學程-跨領域榮譽。']
09007GS2240-*,藝術欣賞與展覽實務Art Appreciation and Exhibition Practice選修,謝佳娟,2,二56/LS-107,人文社會科學大樓-107,選修,半,['學制:限學士班。']
09009GS2456-*,體驗客家Exploring Hakka,陳彥蓉,2,一34/A-106,文學一館-106,選修,半,"['學制:限學士班。學院:限理學院、工學院、資訊電機學院、地球科學學院、生醫理工學院。', '學制:限學士班。']"
09010GS2522-*,日常生活中的記憶心理學The psychology of memory in everyday life,鄭仕坤,2,三34/TR-A201,教研大樓-A201,選修,半,['學制:限學士班。']
09011GS2603-*,文化創意產業與生活美學Cultural and Creative Industries with Aesthetics of Living,劉阿榮,2,一34/O-122,綜教館-122,選修,半,['學制:限學士班。']
09012GS3024-*,社會企業Social Enterprise,陳彥蓉,2,一56/A-106,文學一館-106,選修,半,['學制:限學士班。']
09013GS3061-*,社會參與議題工作坊,蔡錫錚鄭揚宜吳忻怡,2,三BC/A-106,文學一館-106,選修,半,['學制:限學士班。系所:限學分學程-跨領域社會參與。']
09014GS3065-*,數位傳播素養與批判思考Literacy of digital communication and critical thinking,鄭揚宜,2,一56/O-214,綜教館-214,選修,半,['學制:限學士班。']
09015GS3071-*,融媒體專題製作Special Topic of Fusion media,杜聖聰,3,四234/O-214,綜教館-214,選修,半,['學制:限學士班。']
09016GS3073-A,AI人工智慧導論Introduction to Artificial Intelligence,鐘祥仁,3,一678/I-202,志希館-202,選修,半,['學制:限學士班。']
09017GS3073-B,AI人工智慧導論Introduction to Artificial Intelligence,李秉鴻,3,二ABC/I-002,志希館-002,必修,半,['學制:限學士班。系所:限學分學程-人工智慧跨域應用(理)、學分學程-人工智慧跨域應用(文)。']
09019GS3080-*,智慧財產權概論Intellectual Property Right,楊燕枝,2,三34/A-106,文學一館-106,選修,半,"['學制:限學士班。年級:限三年級、四年級。', '學制:限學士班。']"
09022GS3087-*,刑法概論The basic concepts of criminal law,溫祖德,2,一78/TR-A201,教研大樓-A201,選修,半,['學制:限學士班。']
09023GS3088-*,社會參與議題工作坊,蔡錫錚鄭揚宜吳忻怡,2,四AB/A-106,文學一館-106,選修,半,['學制:限學士班。系所:限學分學程-跨領域社會參與。']
09024GS3090-*,社會參與實作SocialEngagementProjects限已加入跨領域社會參與學分學程之學生,蔡錫錚鄭揚宜吳忻怡,2,五AB/A-106,文學一館-106,選修,半,['學制:限學士班。系所:限學分學程-跨領域社會參與。']
09025GS3095-*,資訊社會與法律Information Society and Law,徐振雄,2,四AB/A-101,文學一館-101,選修,半,['學制:限學士班。']
09026GS3096-*,人工智慧與公共治理AI and Public Governance,王俐容,2,一AB/A-106,文學一館-106,選修,半,"['學制:限學士班。系所:限學分學程-人工智慧跨域應用(理)、學分學程-人工智慧跨域應用(文)。', '學制:限學士班。系所:限文學院、客家學院。', '學制:限學士班。']"
09027GS3097-*,消費社會學Sociology of consumption,,2,一34/A-113,文學一館-113,選修,半,['學制:限學士班。']
09029GS3099-*,科技政策理論與實踐Heory and Practice of Technology Policy,,2,三78/A-113,文學一館-113,選修,半,['學制:限學士班。']
09030GS3101-*,地緣政治Geopolitics,,2,二78/A-113,文學一館-113,選修,半,['學制:限學士班。']
09032GS3103-*,國際太空政治The International Space Politics,,2,一34/TR-A202,教研大樓-A202,選修,半,['學制:限學士班。']
09033GS3104-*,東北亞地緣政治The Geopolitics of Northeast Asia,,2,一56/TR-A202,教研大樓-A202,選修,半,['學制:限學士班。']
09034GS3150-*,生命教育Life Education,程進發,2,三34/A-113,文學一館-113,選修,半,['學制:限學士班。']
09035GS3225-*,戰爭與和平,章榮明,2,一34/A-101,文學一館-101,選修,半,['學制:限學士班。']
09036GS3509-*,媒體素養,呂理德,2,四34/O-122,綜教館-122,選修,半,"['系所:限學分學程-創意。', '學制:限學士班。學院:限理學院、工學院、資訊電機學院、地球科學學院、生醫理工學院。', '學制:限學士班。']"
09037GS3510-*,大眾傳播與生活Mass Communication and Social Life,呂郁女,2,四78/O-122,綜教館-122,選修,半,"['學制:限學士班。學院:限理學院、工學院、資訊電機學院、地球科學學院、生醫理工學院。', '學制:限學士班。']"
09038GS3552-*,資料蒐集與報告寫作Data Collection and Report Writing,朱碧靜,2,四9A/TR-A201,教研大樓-A201,選修,半,['學制:限學士班。']
09039GS3639-*,移民與社會,李廣均,2,二56/A-106,文學一館-106,選修,半,['學制:限學士班。']
09040GS3901-*,創造力之理論與技巧Theory and Skills of Creativity,黃金俊,2,四9A/O-122,綜教館-122,選修,半,"['系所:限學分學程-創意、學分學程-創意與創業。', '學制:限學士班。學院:限理學院、工學院、資訊電機學院、地球科學學院、生醫理工學院。', '學制:限學士班。']"
09041GS3902-*,創造力與多元智慧的理念與實踐Theory and Practice of Creativity and Multiple Intelligence,黃金俊,2,四BC/O-122,綜教館-122,選修,半,"['系所:限學分學程-創意、學分學程-創意與創業。', '學制:限學士班。學院:限理學院、工學院、資訊電機學院、地球科學學院、生醫理工學院。', '學制:限學士班。']"
09042GS3905-*,影像紀錄製作基礎課程Documentary production foundation courses,黃文珊,2,五12/O-122,綜教館-122,選修,半,['學制:限學士班。']
09043GS4110-*,通識地球物理Introduction to Geophysics,陳洲生,2,一56/O-122,綜教館-122,選修,半,"['學制:限學士班。學院:限文學院、管理學院、客家學院。', '學制:限學士班。', '學院:限非地球科學學院。']"
09044GS4413-*,全球氣候變遷,張哲明,2,三34/O-122,綜教館-122,選修,半,"['系所:限學分學程-科技與社會。', '學制:限學士班。學院:限文學院、管理學院、客家學院。', '學制:限學士班。']"
09045GS4452-*,精準醫療與智慧醫療Precision Medicine and Smart Healthcare,許藝瓊,2,一56/TR-A203,教研大樓-A203,選修,半,['學制:限學士班。']
09046GS4457-*,半導體入門Introduction to semiconducto,陳啟昌,2,三78/A-106,文學一館-106,選修,半,['學制:限學士班。']
09047GS4458-*,生成式人工智慧導論Introduction to Generative AI,張家凱,3,三89A/I-002,志希館-002,選修,半,['學制:限學士班。']
09048GS4502-A,運算思維與程式設計應用初階課程,葉俞佛,2,五12/I-002,志希館-002,選修,半,"['學制:限學士班。學院:限文學院、客家學院。系所:限學分學程-人工智慧跨域應用(文)。', '學制:限學士班。學院:限文學院、管理學院、客家學院。']"
09049GS4502-B,運算思維與程式設計應用初階課程,葉俞佛,2,五34/I-002,志希館-002,選修,半,"['學制:限學士班。學院:限文學院、客家學院。系所:限學分學程-人工智慧跨域應用(文)。', '學制:限學士班。學院:限文學院、管理學院、客家學院。']"
09050GS4513-*,定量思考Quantative thinking,陳宣毅,2,二AB/A-106,文學一館-106,選修,半,['學制:限學士班。系所:限學分學程-跨領域榮譽。']
09051GS4518-*,自然語言處理Natural language processing一律使用密碼卡,鐘祥仁,3,一234/O-202,綜教館-202,選修,半,['學制:限學士班。系所:限學分學程-人工智慧跨域應用(理)、學分學程-人工智慧跨域應用(文)。']
09052GS4519-A,機器學習概論Introduction to machine learning一律使用密碼卡,鐘祥仁,2,三34/I-202,志希館-202,選修,半,['學制:限學士班。系所:限學分學程-人工智慧跨域應用(理)、學分學程-人工智慧跨域應用(文)。']
09053GS4519-B,機器學習概論Introduction to machine learning,黃鈺晴,2,三34/I-002,志希館-002,選修,半,"['學制:限學士班。學院:限文學院、客家學院。', '學制:限學士班。學院:限管理學院。', '系所:限非資訊管理學系。']"
09054GS4519-C,機器學習概論Introduction to machine learning,高怡宣,2,四78/I-002,志希館-002,選修,半,['學制:限學士班。系所:限學分學程-人工智慧跨域應用(理)、學分學程-人工智慧跨域應用(文)。']
09055GS4521-*,人工智慧與商業運用Artificial Intelligence and Commercial Applications,楊燕枝,2,一89/I-002,志希館-002,選修,半,"['學制:限學士班。系所:限學分學程-人工智慧跨域應用(理)、學分學程-人工智慧跨域應用(文)。', '學制:限學士班。學院:限文學院、管理學院、客家學院。']"
09057GS4525-*,人工智慧社會影響力評估Social Impact Evaluation of Artificial Intelligence,徐郁雯,2,一56/A-113,文學一館-113,選修,半,"['學制:限學士班。系所:限學分學程-人工智慧跨域應用(理)、學分學程-人工智慧跨域應用(文)。', '學制:限學士班。']"
09059GS4538-*,Linux與邊緣運算Linux and Edge Computing,張家凱,3,三567/I-002,志希館-002,選修,半,['學制:限學士班。']
09060GS4541-*,數據分析智慧Data Analysis Intelligence,楊燕枝,3,一567/I-002,志希館-002,選修,半,"['學制:限學士班。學院:限文學院、管理學院、客家學院。', '學制:限學士班。系所:限學分學程-人工智慧跨域應用(理)、學分學程-人工智慧跨域應用(文)。', '學制:限學士班。學院:限文學院、管理學院、客家學院。']"
09061GS4715-*,創意與創業Creativity and Entrepreneurship,陳聿廣,2,三78/TR-A001,教研大樓-A001,選修,半,"['學制:限學士班。系所:限學分學程-創意、學分學程-創意與創業。', '學制:限學士班。', '年級:限非一年級。']"
09062GS4719-A,程式設計,黃鈺晴,3,一234/I-002,志希館-002,選修,半,"['學制:限學士班。學院:限文學院、客家學院。系所:限學分學程-人工智慧跨域應用(理)、學分學程-人工智慧跨域應用(文)。', '學制:限學士班。學院:限管理學院。', '系所:限非資訊管理學系。']"
11001CL0126-*,國文,李宜學,3,四34/C2-106二2/C2-106,文學二館-106,必修,半,"['學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11002CL0127-A,國文,康珮,3,三34/C2-101一5/C2-101,文學二館-101,必修,半,"['學制:限學士班。系所:限資訊管理學系、生命科學系、生醫科學與工程學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11003CL0127-B,國文,康珮,3,四34/C2-101二2/C2-101,文學二館-101,必修,半,"['學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11004CL0127-C,國文,康珮,3,五34/C2-101三5/C2-101,文學二館-101,必修,半,"['學制:限學士班。系所:限企業管理學系、大氣科學學系、太空科學與工程學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限數學系。年級:限一年級。班別:限B。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11005CL0128-*,國文,鄭芳祥,3,三34/C2-113五5/C2-113,文學二館-113,必修,半,"['學制:限學士班。系所:限化學學系、光電科學與工程學系、理學院學士班。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11006CL0131-*,國文,呂文翠,3,三34/C2-110一5/C2-110,文學二館-110,必修,半,"['學制:限學士班。系所:限資訊管理學系、生命科學系、生醫科學與工程學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11007CL0132-*,國文,劉德明,3,二2/C2-110四34/C2-110,文學二館-110,必修,半,"['學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11008CL0133-*,國文,王照璵,3,一6/C2-110五34/TR-A205,教研大樓-A205,必修,半,"['學制:限學士班。系所:限地球科學學系、地球科學學院學士班。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11009CL0134-*,國文,廖湘美,3,三34/C2-107一5/C2-107,文學二館-107,必修,半,"['學制:限學士班。系所:限資訊管理學系、生命科學系、生醫科學與工程學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11010CL0137-*,國文,張克濟,3,五34/C2-110三5/C2-110,文學二館-110,必修,半,"['學制:限學士班。系所:限企業管理學系、大氣科學學系、太空科學與工程學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限數學系。年級:限一年級。班別:限B。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11011CL0139-*,國文,郭永吉,3,三34/C2-106一5/C2-106,文學二館-106,必修,半,"['學制:限學士班。系所:限資訊管理學系、生命科學系、生醫科學與工程學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11012CL0143-*,國文,宋玉雯,3,四34/C2-111二2/C2-111,文學二館-111,必修,半,"['學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11013CL0144-*,國文,胡川安,3,三34/TR-A204五5/C2-106,文學二館-106,必修,半,"['學制:限學士班。系所:限化學學系、光電科學與工程學系、理學院學士班。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11014CL0148-*,國文,鍾怡彥,3,五34/TR-A204三5/C2-113,文學二館-113,必修,半,"['學制:限學士班。系所:限企業管理學系、大氣科學學系、太空科學與工程學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限數學系。年級:限一年級。班別:限B。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11015CL0149-*,國文,胡雲鳳,3,二2/C2-113四34/C2-113,文學二館-113,必修,半,"['學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11016CL0151-*,國文,王矞慈,3,五34/C2-106三5/C2-106,文學二館-106,必修,半,"['學制:限學士班。系所:限企業管理學系、大氣科學學系、太空科學與工程學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限數學系。年級:限一年級。班別:限B。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。年級:限二年級。', '身份:限非僑生/交換生。']"
11017CL0201-A,國文,李欣倫邱嘉耀,2,四34/A-103,文學一館-103,必修,半,"['學制:限學士班。系所:限中國文學系。年級:限一年級。學號:限單號。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限中國文學系。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限中國文學系。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限中國文學系。年級:限二年級。', '身份:限非僑生/交換生。']"
11018CL0201-B,國文,李欣倫邱嘉耀,2,四34/A-109,文學一館-109,必修,半,"['學制:限學士班。系所:限中國文學系。年級:限一年級。學號:限雙號。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限中國文學系。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限中國文學系。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限中國文學系。年級:限二年級。', '身份:限非僑生/交換生。']"
11019CL0201-C,國文,莊宜文,2,三34/A-109,文學一館-109,必修,半,"['學制:限學士班。系所:限數學系。年級:限一年級。班別:限A。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、物理學系、客家語文暨社會科學學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限二年級。', '身份:限非僑生/交換生。']"
11020CL0201-D,國文,李欣倫,2,三34/A-103,文學一館-103,必修,半,"['學制:限學士班。系所:限數學系。年級:限一年級。班別:限A。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、物理學系、客家語文暨社會科學學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限二年級。', '身份:限非僑生/交換生。']"
11021CL0201-E,國文,羅健祐,2,三34/*-***,其他-***,必修,半,"['學制:限學士班。系所:限數學系。年級:限一年級。班別:限A。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、物理學系、客家語文暨社會科學學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限二年級。', '身份:限非僑生/交換生。']"
11022CL0201-F,國文,莊斐喬,2,三34/TR-A206,教研大樓-A206,必修,半,"['學制:限學士班。系所:限數學系。年級:限一年級。班別:限A。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、物理學系、客家語文暨社會科學學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限二年級。', '身份:限非僑生/交換生。']"
11023CL0201-G,國文,蘇嘉駿,2,三34/TR-A202,教研大樓-A202,必修,半,"['學制:限學士班。系所:限數學系。年級:限一年級。班別:限A。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、物理學系、客家語文暨社會科學學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限二年級。', '身份:限非僑生/交換生。']"
11024CL0201-H,國文,張力云,2,三34/*-***,其他-***,必修,半,"['學制:限學士班。系所:限數學系。年級:限一年級。班別:限A。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、物理學系、客家語文暨社會科學學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限法國語文學系、數學系、物理學系、客家語文暨社會科學學系。年級:限二年級。', '身份:限非僑生/交換生。']"
11025CL0201-I,國文,楊宜佩,2,四34/TR-A202,教研大樓-A202,必修,半,"['學制:限學士班。系所:限土木工程學系。年級:限一年級。班別:限B。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限英美語文學系、文學院學士班、化學工程與材料工程學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限英美語文學系、文學院學士班、土木工程學系、化學工程與材料工程學系。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限英美語文學系、文學院學士班、土木工程學系、化學工程與材料工程學系。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限英美語文學系、文學院學士班、土木工程學系、化學工程與材料工程學系。年級:限二年級。', '身份:限非僑生/交換生。']"
11026CL0201-J,國文,涂藍云,2,四34/S1-518,科學二館-518,必修,半,"['學制:限學士班。系所:限土木工程學系。年級:限一年級。班別:限B。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限英美語文學系、文學院學士班、化學工程與材料工程學系。年級:限一年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限英美語文學系、文學院學士班、土木工程學系、化學工程與材料工程學系。年級:限四年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限英美語文學系、文學院學士班、土木工程學系、化學工程與材料工程學系。年級:限三年級。', '身份:限非僑生/交換生。', '學制:限學士班。系所:限英美語文學系、文學院學士班、土木工程學系、化學工程與材料工程學系。年級:限二年級。', '身份:限非僑生/交換生。']"
